,Unnamed: 0,source,created_at,text,url,tweet_embed_html
0,0,nytimes,2026-03-26T14:03:56.000Z,"Breaking News: Bill Maher, a critic of President Trump and political correctness, will be awarded the Kennedy Centerâs Mark Twain Prize. https://t.co/cPVMkDMlMc",https://twitter.com/i/web/status/2037168680270737764,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Breaking News: Bill Maher, a critic of President Trump and political correctness, will be awarded the Kennedy CenterÕs Mark Twain Prize. <a href=""https://t.co/cPVMkDMlMc"">https://t.co/cPVMkDMlMc</a></p>&mdash; The New York Times (@nytimes) <a href=""https://twitter.com/nytimes/status/2037168680270737764?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
1,1,nytimes,2026-03-26T13:58:06.000Z,RT @SallyGold: NEW: @NYCMayor is counting on potentially $1.3B in savings from a likely delay in class size law and rollback of expansion tâ¦,https://twitter.com/i/web/status/2037167211727495304,"<blockquote class=""twitter-tweet"" data-theme=""dark><p lang=""en"" dir=""ltr"">NEW: <a href=""https://twitter.com/NYCMayor?ref_src=twsrc%5Etfw"">@NYCMayor</a> is counting on potentially $1.3B in savings from a likely delay in class size law and rollback of expansion to rental assistance program, CityFHEPS. ThatÕs in addition to the cuts announced yesterday. W/ <a href=""https://twitter.com/boreskes?ref_src=twsrc%5Etfw"">@boreskes</a> <a href=""https://t.co/hfi4dieir3"">https://t.co/hfi4dieir3</a></p>&mdash; Sally Goldenberg (@SallyGold) <a href=""https://twitter.com/SallyGold/status/2037130179210825879?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
2,2,nytimes,2026-03-26T13:57:49.000Z,"RT @boreskes: NEW: Even as Council leaders grilled budget director, Sherif Soliman over the cityâs fiscal outlook the Mamdani administratioâ¦",https://twitter.com/i/web/status/2037167140856315973,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">NEW: Even as Council leaders grilled budget director, Sherif Soliman over the cityÕs fiscal outlook the Mamdani administration has quietly identified another $1.3 billion in potential savings from scaling back programs Mamdani endorsed during the campaign <a href=""https://t.co/VsvBvaheNf"">https://t.co/VsvBvaheNf</a></p>&mdash; Ben Oreskes (@boreskes) <a href=""https://twitter.com/boreskes/status/2037144996155904269?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
3,5,washingtonpost,2026-03-26T14:00:55.000Z,"President Trumpâs move to send ICE agents to airports has not reduced security lines, according to data. 

The deployment also has not broken the impasse over funding the Department of Homeland Security, which would restore TSAâs pay. https://t.co/JdZGUomIxs",https://twitter.com/i/web/status/2037167919734333759,"<blockquote class=""twitter-tweet data-theme=""dark""><p lang=""en"" dir=""ltr"">President TrumpÕs move to send ICE agents to airports has not reduced security lines, according to data. <br><br>The deployment also has not broken the impasse over funding the Department of Homeland Security, which would restore TSAÕs pay. <a href=""https://t.co/JdZGUomIxs"">https://t.co/JdZGUomIxs</a></p>&mdash; The Washington Post (@washingtonpost) <a href=""https://twitter.com/washingtonpost/status/2037167919734333759?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
4,6,washingtonpost,2026-03-26T13:58:31.000Z,"RT @travismandrews: BREAKING: It turns out the Mark Twain Prize is going to Bill Maher after all, despite the White House flatly denying itâ¦",https://twitter.com/i/web/status/2037167314043375662,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">BREAKING: It turns out the Mark Twain Prize is going to Bill Maher after all, despite the White House flatly denying it last week.<a href=""https://t.co/bpvLRZDFJy"">https://t.co/bpvLRZDFJy</a></p>&mdash; Travis M Andrews (@travismandrews) <a href=""https://twitter.com/travismandrews/status/2037163171408961962?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
5,7,washingtonpost,2026-03-26T13:52:05.000Z,"Breaking news: Comedian Bill Maher will be the 27th recipient of the Mark Twain Prize for American Humor, the first chosen under President Trumpâs leadership â despite the White House calling the report ""fake news"" just last week. https://t.co/j3UBb33QRc",https://twitter.com/i/web/status/2037165696547713165,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Breaking news: Comedian Bill Maher will be the 27th recipient of the Mark Twain Prize for American Humor, the first chosen under President TrumpÕs leadership Ñ despite the White House calling the report &quot;fake news&quot; just last week. <a href=""https://t.co/j3UBb33QRc"">https://t.co/j3UBb33QRc</a></p>&mdash; The Washington Post (@washingtonpost) <a href=""https://twitter.com/washingtonpost/status/2037165696547713165?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
6,10,cnn,2026-03-26T13:52:31.000Z,Transgender women athletes are banned from competing in the Olympics following new IOC guidelines https://t.co/f5YjV5cwSQ,https://twitter.com/i/web/status/2037165806509847033,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Transgender women athletes are banned from competing in the Olympics following new IOC guidelines <a href=""https://t.co/f5YjV5cwSQ"">https://t.co/f5YjV5cwSQ</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/2037165806509847033?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
7,11,cnn,2026-03-26T11:44:10.000Z,The DOJ's recent release of millions of documents relating to Epstein has shed new light into his final hours and what prison guards were doing at the time. But they've done little to dispel conspiracy theories about the nature of Epstein's death. https://t.co/KOxiDH0jlf https://t.co/layehRJNwJ,https://twitter.com/i/web/status/2037133503834333401,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">The DOJ&#39;s recent release of millions of documents relating to Epstein has shed new light into his final hours and what prison guards were doing at the time. But they&#39;ve done little to dispel conspiracy theories about the nature of Epstein&#39;s death. <a href=""https://t.co/KOxiDH0jlf"">https://t.co/KOxiDH0jlf</a> <a href=""https://t.co/layehRJNwJ"">pic.twitter.com/layehRJNwJ</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/2037133503834333401?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
8,12,cnn,2026-03-26T05:02:21.000Z,"A record warm March has melted an already abysmal snowpack across the western United States, with impacts clearly visible in satellite imagery. Itâs setting the stage for an especially concerning summer season for a region critically dependent on mountain snow. https://t.co/rOqc4QBrm7",https://twitter.com/i/web/status/2037032383623430399,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">A record warm March has melted an already abysmal snowpack across the western United States, with impacts clearly visible in satellite imagery. ItÕs setting the stage for an especially concerning summer season for a region critically dependent on mountain snow.É <a href=""https://t.co/rOqc4QBrm7"">pic.twitter.com/rOqc4QBrm7</a></p>&mdash; CNN (@CNN) <a href=""https://twitter.com/CNN/status/2037032383623430399?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
9,15,FoxNews,2026-03-26T13:45:37.000Z,"NEW: Declassified footage shows U.S. forces neutralizing Iranian military assets threatening the region.

CENTCOM reveals the United States military has executed strikes on over 10,000 regime targets since the start of Operation Epic Fury. https://t.co/j4Rec67zrA",https://twitter.com/i/web/status/2037164069354954995,"<blockquote class=""twitter-tweet"" data-theme=""dark""><p lang=""en"" dir=""ltr"">NEW: Declassified footage shows U.S. forces neutralizing Iranian military assets threatening the region.<br><br>CENTCOM reveals the United States military has executed strikes on over 10,000 regime targets since the start of Operation Epic Fury. <a href=""https://t.co/j4Rec67zrA"">pic.twitter.com/j4Rec67zrA</a></p>&mdash; Fox News (@FoxNews) <a href=""https://twitter.com/FoxNews/status/2037164069354954995?ref_src=twsrc%5Etfw"">March 26, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
