,source,created_at,text,url,tweet_embed_html
0,nytimes,2026-03-26T14:03:56.000Z,"Breaking News: Bill Maher, a critic of President Trump and political correctness, will be awarded the Kennedy Center’s Mark Twain Prize. https://t.co/cPVMkDMlMc",https://twitter.com/i/web/status/2037168680270737764,
1,nytimes,2026-03-26T13:58:06.000Z,RT @SallyGold: NEW: @NYCMayor is counting on potentially $1.3B in savings from a likely delay in class size law and rollback of expansion t…,https://twitter.com/i/web/status/2037167211727495304,
2,nytimes,2026-03-26T13:57:49.000Z,"RT @boreskes: NEW: Even as Council leaders grilled budget director, Sherif Soliman over the city’s fiscal outlook the Mamdani administratio…",https://twitter.com/i/web/status/2037167140856315973,
3,nytimes,2026-03-26T13:41:17.000Z,"Breaking News: The International Olympic Committee barred transgender athletes from competing in the women’s category at the Olympics, after telling its members to conduct mandatory genetic testing for women’s competitions. https://t.co/gTFOuBOE92",https://twitter.com/i/web/status/2037162979406270955,
4,nytimes,2026-03-26T10:46:20.000Z,"Breaking News: The Israeli military said it killed Alireza Tangsiri, an Iranian naval commander who played a pivotal role in blocking the Strait of Hormuz. https://t.co/5WA5BdQLbF",https://twitter.com/i/web/status/2037118953407799486,
5,washingtonpost,2026-03-26T14:00:55.000Z,"President Trump’s move to send ICE agents to airports has not reduced security lines, according to data. 

The deployment also has not broken the impasse over funding the Department of Homeland Security, which would restore TSA’s pay. https://t.co/JdZGUomIxs",https://twitter.com/i/web/status/2037167919734333759,
6,washingtonpost,2026-03-26T13:58:31.000Z,"RT @travismandrews: BREAKING: It turns out the Mark Twain Prize is going to Bill Maher after all, despite the White House flatly denying it…",https://twitter.com/i/web/status/2037167314043375662,
7,washingtonpost,2026-03-26T13:52:05.000Z,"Breaking news: Comedian Bill Maher will be the 27th recipient of the Mark Twain Prize for American Humor, the first chosen under President Trump’s leadership — despite the White House calling the report ""fake news"" just last week. https://t.co/j3UBb33QRc",https://twitter.com/i/web/status/2037165696547713165,
8,washingtonpost,2026-03-26T13:47:52.000Z,"Transgender women athletes are now excluded from the Olympics after the IOC agreed to a new eligibility policy on Thursday, which aligns with President Trump’s executive order on women’s sports ahead of the 2028 Los Angeles Games. https://t.co/AR08yDYFqC",https://twitter.com/i/web/status/2037164636848435243,
9,washingtonpost,2026-03-26T13:28:57.000Z,"Breaking news: Cherry blossoms at D.C.’s Tidal Basin reached peak bloom today. This was the seventh year in a row that peak bloom was earlier than normal, part of a longer-term trend driven by climate change. https://t.co/r2iYlTvNgg",https://twitter.com/i/web/status/2037159876984459304,
10,cnn,2026-03-26T13:52:31.000Z,Transgender women athletes are banned from competing in the Olympics following new IOC guidelines https://t.co/f5YjV5cwSQ,https://twitter.com/i/web/status/2037165806509847033,
11,cnn,2026-03-26T11:44:10.000Z,The DOJ's recent release of millions of documents relating to Epstein has shed new light into his final hours and what prison guards were doing at the time. But they've done little to dispel conspiracy theories about the nature of Epstein's death. https://t.co/KOxiDH0jlf https://t.co/layehRJNwJ,https://twitter.com/i/web/status/2037133503834333401,
12,cnn,2026-03-26T05:02:21.000Z,"A record warm March has melted an already abysmal snowpack across the western United States, with impacts clearly visible in satellite imagery. It’s setting the stage for an especially concerning summer season for a region critically dependent on mountain snow. https://t.co/rOqc4QBrm7",https://twitter.com/i/web/status/2037032383623430399,
13,cnn,2026-03-26T02:32:05.000Z,Hundreds of people wrote to CNN about the impact of higher gas prices on their household finances. Here's what they had to say: https://t.co/Wb5l0pzze0 https://t.co/GIZ8ayUSth,https://twitter.com/i/web/status/2036994570391634110,
14,cnn,2026-03-26T02:01:01.000Z,A key group of House Republicans is growing increasingly wary of the US war with Iran after a briefing with Department of Defense officials on Wednesday left some unsatisfied with what they were told about the objectives and length of the war effort. https://t.co/I6RkRRCZpd,https://twitter.com/i/web/status/2036986749486789060,
15,FoxNews,2026-03-26T13:45:37.000Z,"NEW: Declassified footage shows U.S. forces neutralizing Iranian military assets threatening the region.

CENTCOM reveals the United States military has executed strikes on over 10,000 regime targets since the start of Operation Epic Fury. https://t.co/j4Rec67zrA",https://twitter.com/i/web/status/2037164069354954995,
